Estas plantillas coinciden con su entrada:

Nombre de la pl...  Nombre corto                            Idioma      Etiquetas                                                                                                                                                                                                               
------------------  --------------------------------------  ----------  ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
API web ASP.NET...  webapiaot                               [C#]        Web/Web API/API/Service                                                                                                                                                                                                 
Aplicación Blaz...  blazorserver                            [C#]        Web/Blazor                                                                                                                                                                                                              
Aplicación Blaz...  blazorserver-empty                      [C#]        Web/Blazor/Empty                                                                                                                                                                                                        
Aplicación Blaz...  blazorwasm-empty                        [C#]        Web/Blazor/WebAssembly/PWA/Empty                                                                                                                                                                                        
Aplicación de c...  console                                 [C#],F#,VB  Common/Console                                                                                                                                                                                                          
Aplicación de W...  winforms                                [C#],VB     Common/WinForms                                                                                                                                                                                                         
Aplicación inde...  blazorwasm                              [C#]        Web/Blazor/WebAssembly/PWA                                                                                                                                                                                              
Aplicación web ...  blazor                                  [C#]        Web/Blazor/WebAssembly                                                                                                                                                                                                  
Aplicación web ...  mvc                                     [C#],F#     Web/MVC                                                                                                                                                                                                                 
Aplicación WPF      wpf                                     [C#],VB     Common/WPF                                                                                                                                                                                                              
Archivo de búfe...  proto                                               Web/gRPC                                                                                                                                                                                                                
Archivo de filt...  slnf,solutionfilter                                 Solution                                                                                                                                                                                                                
Archivo de la s...  sln,solution                                        Solution                                                                                                                                                                                                                
Archivo de mani...  tool-manifest                                       Config                                                                                                                                                                                                                  
Archivo Directo...  buildprops                                          MSBuild/props                                                                                                                                                                                                           
Archivo Directo...  buildtargets                                        MSBuild/props                                                                                                                                                                                                           
Archivo Directo...  packagesprops                                       MSBuild/packages/props/CPM                                                                                                                                                                                              
Archivo dotnet ...  gitattributes,.gitattributes                        Config                                                                                                                                                                                                                  
Archivo EditorC...  editorconfig,.editorconfig                          Config                                                                                                                                                                                                                  
archivo gitigno...  gitignore,.gitignore                                Config                                                                                                                                                                                                                  
archivo global....  globaljson,global.json                              Config                                                                                                                                                                                                                  
ASP.NET Core co...  angular                                 [C#]        Web/MVC/SPA                                                                                                                                                                                                             
ASP.NET Core co...  react                                   [C#]        Web/MVC/SPA                                                                                                                                                                                                             
ASP.NET Core vacío  web                                     [C#],F#     Web/Empty                                                                                                                                                                                                               
ASP.NET Core We...  webapi                                  [C#],F#     Web/WebAPI/Web API/API/Service                                                                                                                                                                                          
ASP.NET Core We...  webapp,razor                            [C#]        Web/MVC/Razor Pages                                                                                                                                                                                                     
ASP.NET Core wi...  reactredux                              [C#]        Web/MVC/SPA                                                                                                                                                                                                             
Biblioteca de c...  classlib                                [C#],F#,VB  Common/Library                                                                                                                                                                                                          
Biblioteca de c...  razorclasslib                           [C#]        Web/Razor/Library/Razor Class Library                                                                                                                                                                                   
Biblioteca de c...  winformslib                             [C#],VB     Common/WinForms                                                                                                                                                                                                         
Biblioteca de c...  wpflib                                  [C#],VB     Common/WPF                                                                                                                                                                                                              
Biblioteca de c...  wpfcustomcontrollib                     [C#],VB     Common/WPF                                                                                                                                                                                                              
Biblioteca de c...  wpfusercontrollib                       [C#],VB     Common/WPF                                                                                                                                                                                                              
Biblioteca de c...  winformscontrollib                      [C#],VB     Common/WinForms                                                                                                                                                                                                         
Clase de prueba...  mstest-class                            [C#],F#,VB  Test/MSTest                                                                                                                                                                                                             
Componente Razor    razorcomponent                          [C#]        Web/ASP.NET                                                                                                                                                                                                             
